                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                 1.0589,                0.48948,                 1.1294,                 0.9578,                0.93434,                0.97569,                0.62961,                 1.2747,                0.50596,                 1.2461,               0.004918,               0.004918,               0.004918
                     79,                 1.0672,                0.48874,                 1.1232,                0.95375,                0.94949,                 0.9753,                0.63667,                 1.2805,                0.49337,                 1.2494,               0.004852,               0.004852,               0.004852
                     80,                 1.0644,                0.49229,                  1.132,                0.94469,                0.93939,                0.97183,                0.63064,                 1.2921,                0.50147,                 1.2679,               0.004786,               0.004786,               0.004786
                     81,                  1.051,                 0.4857,                 1.1235,                0.95295,                0.93939,                  0.977,                0.63664,                 1.2898,                0.50138,                 1.2731,                0.00472,                0.00472,                0.00472
                     82,                 1.0456,                 0.4827,                  1.119,                0.94722,                0.93771,                 0.9731,                0.63846,                 1.3032,                0.50124,                 1.2825,               0.004654,               0.004654,               0.004654
                     83,                  1.042,                0.47729,                 1.1162,                0.95288,                0.94444,                0.97595,                0.63312,                 1.2761,                0.50066,                 1.2662,               0.004588,               0.004588,               0.004588
                     84,                 1.0462,                0.47851,                 1.1218,                0.94189,                0.94613,                0.97411,                0.64128,                 1.2856,                0.48946,                  1.267,               0.004522,               0.004522,               0.004522
                     85,                 1.0353,                0.47706,                  1.112,                0.95002,                0.92802,                0.97143,                0.63671,                 1.2853,                0.49371,                 1.2658,               0.004456,               0.004456,               0.004456
                     86,                 1.0404,                0.47585,                 1.1113,                0.94131,                0.94497,                 0.9758,                0.63869,                 1.2803,                0.50017,                  1.256,                0.00439,                0.00439,                0.00439
                     87,                 1.0376,                0.47735,                 1.1135,                0.97166,                0.92343,                0.97677,                0.64651,                  1.276,                0.49285,                 1.2555,               0.004324,               0.004324,               0.004324
                     88,                 1.0347,                 0.4739,                 1.1147,                0.96343,                0.93144,                0.97205,                0.63824,                 1.2878,                0.49821,                 1.2789,               0.004258,               0.004258,               0.004258
                     89,                 1.0209,                0.46988,                 1.1034,                0.96076,                0.93266,                 0.9688,                0.62929,                 1.2972,                0.48879,                  1.272,               0.004192,               0.004192,               0.004192
                     90,                 1.0162,                0.46527,                 1.1025,                0.96161,                0.92772,                0.97496,                0.63887,                 1.2682,                0.49611,                 1.2516,               0.004126,               0.004126,               0.004126
                     91,                 1.0275,                0.46808,                  1.107,                0.95066,                0.94074,                0.97434,                0.63568,                 1.2721,                0.48668,                 1.2719,                0.00406,                0.00406,                0.00406
                     92,                 1.0253,                0.46519,                 1.1063,                 0.9537,                0.95118,                 0.9771,                0.64369,                 1.2736,                0.46688,                 1.2607,               0.003994,               0.003994,               0.003994
                     93,                 1.0164,                0.46093,                 1.0981,                0.93971,                0.94469,                0.96936,                0.63546,                  1.283,                0.48387,                 1.2645,               0.003928,               0.003928,               0.003928
                     94,                 1.0132,                 0.4632,                 1.1037,                0.95212,                0.93733,                0.96746,                 0.6371,                 1.2976,                0.49366,                 1.2854,               0.003862,               0.003862,               0.003862
                     95,                 1.0059,                0.46011,                 1.1005,                0.95883,                0.94104,                0.97393,                0.64246,                 1.2927,                0.49248,                 1.2806,               0.003796,               0.003796,               0.003796
                     96,                 1.0078,                   0.46,                 1.0964,                0.94751,                0.94108,                0.97484,                0.64233,                 1.2867,                0.48871,                 1.2608,                0.00373,                0.00373,                0.00373
                     97,                 1.0122,                 0.4571,                 1.0992,                0.93453,                0.95455,                0.97456,                0.64786,                 1.2645,                0.47497,                 1.2542,               0.003664,               0.003664,               0.003664
                     98,                 1.0028,                0.45776,                 1.0958,                0.94499,                0.95442,                0.97582,                0.64994,                 1.2685,                0.47664,                 1.2557,               0.003598,               0.003598,               0.003598
                     99,                0.99637,                0.45168,                 1.0897,                0.95548,                0.93939,                0.97283,                 0.6385,                  1.297,                0.49339,                 1.2732,               0.003532,               0.003532,               0.003532
                    100,                 1.0007,                0.45522,                 1.0901,                0.95025,                0.93252,                0.97107,                0.63878,                  1.265,                 0.4834,                 1.2561,               0.003466,               0.003466,               0.003466
                    101,                0.97856,                0.44547,                 1.0833,                0.95918,                0.93771,                0.97895,                0.64481,                 1.2734,                0.47533,                 1.2767,                 0.0034,                 0.0034,                 0.0034
                    102,                0.98966,                0.45088,                 1.0878,                0.96124,                0.93771,                0.97608,                0.64448,                 1.2631,                0.46775,                 1.2673,               0.003334,               0.003334,               0.003334
                    103,                0.99133,                0.44695,                 1.0828,                0.96444,                0.93771,                0.97416,                0.64386,                 1.2791,                0.47358,                 1.2701,               0.003268,               0.003268,               0.003268
                    104,                0.99187,                0.44922,                 1.0857,                0.95274,                0.94108,                0.97223,                0.64692,                 1.2883,                0.47601,                 1.2722,               0.003202,               0.003202,               0.003202
                    105,                0.98043,                0.44475,                  1.081,                0.95414,                0.94781,                 0.9736,                0.64698,                 1.2838,                0.48111,                 1.2773,               0.003136,               0.003136,               0.003136
                    106,                0.98107,                0.44476,                 1.0818,                0.95088,                0.94517,                0.97268,                0.63363,                 1.2883,                0.47346,                 1.2696,                0.00307,                0.00307,                0.00307
