                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                 1.2046,                0.60626,                 1.1802,                0.88984,                0.88728,                0.91562,                0.55253,                 1.3816,                0.66994,                 1.2978,              0.0087922,              0.0087922,              0.0087922
                     63,                 1.2131,                0.60608,                 1.1878,                0.87974,                0.88728,                0.92073,                0.55904,                 1.3902,                0.67172,                  1.305,              0.0087724,              0.0087724,              0.0087724
                     64,                 1.1944,                0.59691,                 1.1727,                0.89504,                0.88729,                0.93877,                0.57272,                 1.3987,                0.64436,                 1.3146,              0.0087526,              0.0087526,              0.0087526
                     65,                 1.1906,                0.59495,                 1.1739,                0.89222,                0.88524,                0.93898,                0.57778,                 1.3775,                0.63524,                 1.3009,              0.0087328,              0.0087328,              0.0087328
                     66,                  1.198,                  0.594,                  1.178,                0.84491,                0.88825,                0.87788,                0.51369,                 1.4297,                0.68795,                 1.3274,               0.008713,               0.008713,               0.008713
                     67,                 1.1896,                0.59468,                  1.173,                0.88564,                0.89114,                0.91623,                0.54956,                 1.3899,                 0.6452,                  1.303,              0.0086932,              0.0086932,              0.0086932
                     68,                 1.1965,                0.58974,                 1.1756,                0.88465,                0.89306,                0.92643,                 0.5677,                 1.3812,                 0.6231,                 1.2888,              0.0086734,              0.0086734,              0.0086734
                     69,                 1.1881,                0.58908,                 1.1705,                0.89246,                0.87861,                0.92967,                0.56627,                 1.3734,                0.63562,                 1.2873,              0.0086536,              0.0086536,              0.0086536
                     70,                 1.1867,                0.58917,                 1.1651,                0.88757,                0.88225,                  0.912,                0.55292,                 1.3593,                0.63619,                 1.2878,              0.0086338,              0.0086338,              0.0086338
                     71,                 1.1788,                0.58957,                 1.1642,                0.88884,                0.88921,                0.92679,                0.58324,                 1.3588,                0.62726,                 1.2789,               0.008614,               0.008614,               0.008614
                     72,                 1.1817,                0.58839,                 1.1623,                0.87388,                0.89453,                0.92459,                0.57149,                 1.3493,                0.64055,                 1.2781,              0.0085942,              0.0085942,              0.0085942
                     73,                  1.182,                0.58281,                 1.1623,                0.89702,                0.89499,                0.91368,                0.56288,                 1.3325,                0.63346,                 1.2658,              0.0085744,              0.0085744,              0.0085744
                     74,                 1.1725,                0.57968,                  1.165,                0.88727,                0.89884,                0.91967,                 0.5662,                 1.3399,                0.62372,                 1.2786,              0.0085546,              0.0085546,              0.0085546
                     75,                 1.1728,                0.58369,                  1.168,                0.90674,                0.88052,                0.93613,                0.58399,                  1.349,                0.61457,                 1.2879,              0.0085348,              0.0085348,              0.0085348
                     76,                 1.1717,                0.57779,                 1.1617,                0.86721,                0.91329,                0.90499,                 0.5501,                 1.3391,                0.62631,                  1.269,               0.008515,               0.008515,               0.008515
                     77,                 1.1816,                 0.5869,                 1.1687,                 0.9035,                0.92007,                0.94981,                0.59332,                 1.3356,                0.59972,                  1.272,              0.0084952,              0.0084952,              0.0084952
                     78,                  1.171,                0.57562,                 1.1649,                0.90833,                0.89306,                0.93266,                 0.5856,                 1.3241,                0.60923,                 1.2641,              0.0084754,              0.0084754,              0.0084754
                     79,                 1.1622,                0.57101,                 1.1552,                0.90273,                0.89114,                0.92287,                0.57495,                 1.3192,                0.60319,                 1.2508,              0.0084556,              0.0084556,              0.0084556
                     80,                 1.1557,                0.57362,                 1.1571,                0.89924,                0.91137,                0.93035,                 0.5845,                 1.3115,                0.59678,                  1.252,              0.0084358,              0.0084358,              0.0084358
